time,signal_default,signal_max_1,signal_max_2,signal_min
02-Oct-2019 09:00:00,32.8,90,90,10
02-Oct-2019 09:01:00,33.2,90,90,10
02-Oct-2019 09:02:00,33.3,90,90,10
02-Oct-2019 09:03:00,31.3,90,90,10
02-Oct-2019 09:04:00,31.7,90,90,10
02-Oct-2019 09:05:00,31.7,90,90,10
02-Oct-2019 09:06:00,33.6,90,90,10
02-Oct-2019 09:07:00,33.2,90,90,10
02-Oct-2019 09:08:00,32.4,90,90,10
02-Oct-2019 09:09:00,31.8,90,90,10
02-Oct-2019 09:10:00,33.3,90,90,10
02-Oct-2019 09:11:00,33.4,90,90,10
02-Oct-2019 09:12:00,31.4,90,90,10
02-Oct-2019 09:13:00,31.7,90,90,10
02-Oct-2019 09:14:00,31.9,90,90,10
02-Oct-2019 09:15:00,31.3,90,90,10
02-Oct-2019 09:16:00,31.7,90,90,10
02-Oct-2019 09:17:00,32.1,90,90,10
02-Oct-2019 09:18:00,31.7,90,90,10
02-Oct-2019 09:19:00,30.6,90,90,10
02-Oct-2019 09:20:00,32.4,90,90,10
02-Oct-2019 09:21:00,32.0,90,90,10
02-Oct-2019 09:22:00,32.3,90,90,10
02-Oct-2019 09:23:00,30.9,90,90,10
02-Oct-2019 09:24:00,31.8,90,90,10
02-Oct-2019 09:25:00,31.6,90,90,10
02-Oct-2019 09:26:00,31.1,90,90,10
02-Oct-2019 09:27:00,31.1,90,90,10
02-Oct-2019 09:28:00,32.2,90,90,10
02-Oct-2019 09:29:00,31.1,90,90,10
02-Oct-2019 09:30:00,31.9,90,90,10
02-Oct-2019 09:31:00,31.0,90,90,10
02-Oct-2019 09:32:00,31.7,90,90,10
02-Oct-2019 09:33:00,32.4,90,90,10
02-Oct-2019 09:34:00,31.3,90,90,10
02-Oct-2019 09:35:00,32.2,90,90,10
02-Oct-2019 09:36:00,31.8,90,90,10
02-Oct-2019 09:37:00,31.9,90,90,10
02-Oct-2019 09:38:00,31.3,90,90,10
02-Oct-2019 09:39:00,31.1,90,90,10
02-Oct-2019 09:40:00,31.3,90,90,10
02-Oct-2019 09:41:00,32.9,90,90,10
02-Oct-2019 09:42:00,35.9,90,90,10
02-Oct-2019 09:43:00,36.3,90,90,10
02-Oct-2019 09:44:00,38.6,90,90,10
02-Oct-2019 09:45:00,38.2,90,90,10
02-Oct-2019 09:46:00,40.2,90,90,10
02-Oct-2019 09:47:00,41.9,90,90,10
02-Oct-2019 09:48:00,42.6,90,90,10
02-Oct-2019 09:49:00,43.9,90,90,10
02-Oct-2019 09:50:00,42.8,90,90,10
02-Oct-2019 09:51:00,44.8,90,90,10
02-Oct-2019 09:52:00,43.6,90,90,10
02-Oct-2019 09:53:00,44.1,90,90,10
02-Oct-2019 09:54:00,43.8,90,90,10
02-Oct-2019 09:55:00,44.6,90,90,10
02-Oct-2019 09:56:00,45.2,90,90,10
02-Oct-2019 09:57:00,44.0,90,90,10
02-Oct-2019 09:58:00,43.7,90,90,10
02-Oct-2019 09:59:00,45.0,90,90,10
02-Oct-2019 10:00:00,43.3,90,90,10
02-Oct-2019 10:01:00,44.4,90,90,10
02-Oct-2019 10:02:00,45.5,90,90,10
02-Oct-2019 10:03:00,43.4,90,90,10
02-Oct-2019 10:04:00,44.9,90,90,10
02-Oct-2019 10:05:00,44.0,90,90,10
02-Oct-2019 10:06:00,44.5,90,90,10
02-Oct-2019 10:07:00,45.6,90,90,10
02-Oct-2019 10:08:00,44.3,90,90,10
02-Oct-2019 10:09:00,44.8,90,90,10
02-Oct-2019 10:10:00,44.3,90,90,10
02-Oct-2019 10:11:00,44.6,90,90,10
02-Oct-2019 10:12:00,44.0,90,90,10
02-Oct-2019 10:13:00,44.6,90,90,10
02-Oct-2019 10:14:00,43.0,90,90,10
02-Oct-2019 10:15:00,42.9,90,90,10
02-Oct-2019 10:16:00,44.9,90,90,10
02-Oct-2019 10:17:00,44.9,90,90,10
02-Oct-2019 10:18:00,43.4,90,90,10
