time,P02HDZ01_out_T,P02HDZ01_out_Q,P02HDZ01_in_T,P02HDZ01_in_Q,P02HDZ03_out_T,P02HDZ03_out_Q,P02HDZ03_in_T,P02HDZ03_in_Q,P02HDZ04_out_T,P02HDZ04_out_Q,P02HDZ04_in_T,P02HDZ04_in_Q,P02HDZ02_out_T,P02HDZ02_out_Q,P02HDZ02_in_T,P02HDZ02_in_Q,P02R10_in_b_T,P02R10_in_b_Q,P02R10_out_b_T,P02R10_out_b_Q,P02R10_in_m_T,P02R10_in_m_Q,P02R10_out_m_T,P02R10_out_m_Q,P02R10_in_t_T,P02R10_in_t_Q,P02R10_out_t_T,P02R10_out_t_Q,P02R08_in_b_T,P02R08_in_b_Q,P02R08_out_b_T,P02R08_out_b_Q,P02R08_in_m_T,P02R08_in_m_Q,P02R08_out_m_T,P02R08_out_m_Q,P02R08_in_t_T,P02R08_in_t_Q,P02R08_out_t_T,P02R08_out_t_Q,P02R01_in_b_T,P02R01_in_b_Q,P02R01_out_b_T,P02R01_out_b_Q,P02R01_in_m_T,P02R01_in_m_Q,P02R01_out_m_T,P02R01_out_m_Q,P02R01_in_t_T,P02R01_in_t_Q,P02R01_out_t_T,P02R01_out_t_Q,P02R06_in_b_T,P02R06_in_b_Q,P02R06_out_b_T,P02R06_out_b_Q,P02R06_in_m_T,P02R06_in_m_Q,P02R06_out_m_T,P02R06_out_m_Q,P02R06_in_t_T,P02R06_in_t_Q,P02R06_out_t_T,P02R06_out_t_Q,P02R07_in_b_T,P02R07_in_b_Q,P02R07_out_b_T,P02R07_out_b_Q,P02R07_in_m_T,P02R07_in_m_Q,P02R07_out_m_T,P02R07_out_m_Q,P02R07_in_t_T,P02R07_in_t_Q,P02R07_out_t_T,P02R07_out_t_Q,P02R04_in_b_T,P02R04_in_b_Q,P02R04_out_b_T,P02R04_out_b_Q,P02R04_in_m_T,P02R04_in_m_Q,P02R04_out_m_T,P02R04_out_m_Q,P02R04_in_t_T,P02R04_in_t_Q,P02R04_out_t_T,P02R04_out_t_Q,P02R05_in_b_T,P02R05_in_b_Q,P02R05_out_b_T,P02R05_out_b_Q,P02R05_in_m_T,P02R05_in_m_Q,P02R05_out_m_T,P02R05_out_m_Q,P02R05_in_t_T,P02R05_in_t_Q,P02R05_out_t_T,P02R05_out_t_Q,P02R02_in_b_T,P02R02_in_b_Q,P02R02_out_b_T,P02R02_out_b_Q,P02R02_in_m_T,P02R02_in_m_Q,P02R02_out_m_T,P02R02_out_m_Q,P02R02_in_t_T,P02R02_in_t_Q,P02R02_out_t_T,P02R02_out_t_Q,P02R09_in_b_T,P02R09_in_b_Q,P02R09_out_b_T,P02R09_out_b_Q,P02R09_in_m_T,P02R09_in_m_Q,P02R09_out_m_T,P02R09_out_m_Q,P02R09_in_t_T,P02R09_in_t_Q,P02R09_out_t_T,P02R09_out_t_Q,P02R03_in_b_T,P02R03_in_b_Q,P02R03_out_b_T,P02R03_out_b_Q,P02R03_in_m_T,P02R03_in_m_Q,P02R03_out_m_T,P02R03_out_m_Q,P02R03_in_t_T,P02R03_in_t_Q,P02R03_out_t_T,P02R03_out_t_Q
23-Jan-2018 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jan-2018 10:01:00,17.008,0.944631,27.0136,0.725964,17.0403,0.809322,29.7937,0.67349,16.5616,0.720975,26.7382,0.589799,17.2835,1.05187,28.4648,0.830328,20.0378,0.0146193,33.1167,0.00556352,20.6565,0.0158816,33.9551,0.0158283,25.2458,0.0154196,35.6909,0.0319308,20.3214,0.0133788,34.0951,0.013702,21.6381,0.0153332,35.1689,0.0137538,29.1364,0.00833542,38.73,0.0174284,22.6029,0.033622,37.6284,0.045196,23.8695,0.0323509,39.4206,0.0391992,29.0839,0.0326504,41.6976,0.0493901,22.8559,0.0117794,33.2933,0.02119,25.4335,0.0141794,36.0368,0.0111765,34.6375,0.00707384,40.9773,0.0219014,20.1913,0.0122087,30.8824,0.0198528,21.7121,0.0147338,32.1155,0.0115553,29.7847,0.0101143,36.9351,0.0209335,19.2016,0.0100212,31.8306,0.0197291,20.2111,0.0134664,33.1577,0.00921867,26.5601,0.0137076,36.6372,0.0167912,21.433,0.0200399,31.0163,0.0204518,22.1577,0.0229248,32.0495,0.0115146,31.3275,0.00823038,37.2258,0.0212095,19.4748,0.0110595,35.2781,0.0211541,20.2978,0.0143144,36.3703,0.0116875,25.4116,0.0119803,39.003,0.0211254,20.2598,0.00859227,34.575,0.0202391,20.9235,0.00873452,35.6191,0.0220656,25.743,0.00701499,37.6038,0.0213325,21.1633,0.0210125,36.1676,0.029686,22.9007,0.0203027,38.3826,0.0225561,30.3327,0.0129479,42.352,0.0332024
23-Jan-2018 10:02:00,17.3225,0.943478,30.6374,0.727802,17.2605,0.809653,32.8224,0.67543,16.7311,0.723187,29.6687,0.595522,17.4367,1.05043,31.3398,0.833499,20.766,0.0155702,34.7751,0.00217111,21.6478,0.0170289,35.7981,0.0158568,27.3975,0.016422,38.3391,0.0311172,20.3596,0.0150051,34.4768,0.0135899,22.3687,0.0176932,36.019,0.0113817,31.3088,0.0106527,40.6655,0.018012,25.2607,0.034995,40.4118,0.0458416,27.5806,0.0325943,43.1668,0.0396815,33.8769,0.0317619,46.345,0.0497706,24.0933,0.01223,34.6503,0.0214271,27.1889,0.0161581,37.7242,0.0113138,37.7614,0.00494123,43.7071,0.0218076,20.7566,0.0127598,31.6342,0.0200784,22.5505,0.0148215,33.1244,0.0116354,32.5814,0.00764316,39.2574,0.0209558,19.3867,0.0104371,32.3759,0.0188116,20.737,0.013623,33.7951,0.00968222,28.5336,0.0151052,38.3921,0.0170943,21.8808,0.0206588,31.6877,0.0207226,22.8769,0.0229316,32.8669,0.0119342,33.797,0.0130711,39.3572,0.0215707,20.2849,0.0109413,36.4165,0.0194212,21.5518,0.0145259,37.7956,0.0121114,28.5549,0.0124141,41.8947,0.0211672,20.8306,0.0110277,35.6044,0.0210611,21.2266,0.00958811,36.5646,0.0230424,27.2219,0.00775044,39.4849,0.0214829,21.7559,0.0231929,37.0248,0.0304001,23.6969,0.0208035,39.3125,0.023032,33.2193,0.0132404,44.9215,0.0335829
23-Jan-2018 10:03:00,17.3944,0.944756,31.461,0.730071,17.2592,0.810217,33.1814,0.679134,16.7975,0.723331,30.3023,0.59353,17.4611,1.05141,31.5978,0.835789,20.9635,0.0160192,35.0991,0.0075079,21.9828,0.0176115,36.248,0.0159288,28.2419,0.0170239,39.1419,0.0319548,20.3436,0.0161462,34.6184,0.0135177,22.6152,0.0184675,36.2877,0.0129345,31.2327,0.0110361,40.8003,0.0193482,25.3769,0.0354324,40.6397,0.0456476,28.7244,0.0324752,44.2717,0.0397114,35.4355,0.03216,47.6493,0.0497742,24.1984,0.0122041,34.6618,0.0216072,27.048,0.0147671,37.7119,0.0111171,37.3274,0.00200408,43.5503,0.0215419,20.6075,0.0129216,31.5433,0.0201279,22.5822,0.0147657,33.1598,0.0117685,32.9897,0.00665921,39.6173,0.0209902,19.4792,0.0102859,32.4044,0.0190307,20.819,0.0137577,33.9229,0.00964728,28.3975,0.0158851,38.3813,0.01668,22.0595,0.0199504,31.9084,0.0206039,22.853,0.0234199,32.9204,0.0119173,33.7924,0.0119786,39.4112,0.0209434,20.3457,0.0112255,36.4741,0.021531,21.8809,0.0144787,38.122,0.0121468,29.0581,0.012764,42.4255,0.0209397,20.7763,0.00906535,35.7127,0.0217079,21.3436,0.00879627,36.7128,0.0230352,27.5034,0.00902826,39.875,0.021832,21.8684,0.0240706,37.0314,0.0307019,23.8953,0.0189108,39.4814,0.0232503,33.9929,0.0123075,45.5047,0.0337089
23-Jan-2018 10:04:00,17.5289,0.94278,31.2884,0.72687,17.2498,0.811153,33.1174,0.675862,16.8178,0.723463,30.5137,0.593521,17.5553,1.07249,31.6602,0.849806,21.0538,0.0155935,35.3428,0.00697536,22.1236,0.0175073,36.4954,0.0159796,28.3146,0.0170743,39.3321,0.0322563,20.4013,0.0154021,34.7155,0.0146523,22.4765,0.0175225,36.2125,0.0131655,31.9343,0.00820881,41.186,0.0178852,25.5745,0.0354343,40.8626,0.0457646,29.2719,0.0327827,44.8537,0.0397324,35.2692,0.0316416,47.7077,0.049747,24.1195,0.0120579,34.6476,0.0216867,26.8693,0.0162097,37.5785,0.0111417,37.1604,0.00458069,43.4383,0.0215908,20.6191,0.0128383,31.5291,0.0199444,22.5327,0.0147879,33.132,0.0116664,32.2044,0.00960078,39.1883,0.020598,19.4776,0.0104893,32.4697,0.019022,20.8466,0.0136731,33.9493,0.00980537,29.5859,0.016055,38.9586,0.0168475,22.0061,0.0212988,31.8889,0.0206579,22.8733,0.0247042,32.9695,0.0118205,33.4506,0.00865388,39.1445,0.0208462,20.5182,0.0111917,36.684,0.0209377,22.0156,0.0144126,38.3202,0.0121877,28.8342,0.011912,42.4204,0.0218554,20.8873,0.00910378,35.8868,0.0215382,21.3464,0.00922294,36.8561,0.0221701,27.462,0.00983781,39.9554,0.0224064,21.7364,0.0249229,37.0375,0.0305513,23.8484,0.021572,39.553,0.0231701,33.6537,0.0132481,45.3401,0.0338056
23-Jan-2018 10:05:00,17.5113,0.944308,31.3241,0.72542,17.3301,0.815275,33.1885,0.680846,16.864,0.737472,30.1478,0.602541,17.5975,1.09428,31.5551,0.854805,20.9814,0.0158649,35.3534,0.00279147,22.0525,0.0175642,36.57,0.0161688,28.19,0.0173615,39.3222,0.0312847,20.5093,0.0159774,34.7925,0.0131538,22.6058,0.0175133,36.2324,0.0146921,30.9399,0.009983,40.5976,0.0188779,25.9121,0.0354817,41.2413,0.0456764,29.5145,0.0326792,45.0915,0.0397546,35.3683,0.0310053,47.8843,0.0496541,24.256,0.0133438,34.761,0.0217691,27.0292,0.0162657,37.7268,0.011037,37.3002,0.00790008,43.5071,0.021316,20.6592,0.0128197,31.5713,0.0199355,22.6343,0.0147186,33.2332,0.0117643,34.1908,0.00319757,40.186,0.0200416,19.466,0.0105484,32.4334,0.0197768,20.8061,0.0137124,33.963,0.0095989,29.8545,0.0133975,39.0934,0.016094,22.1012,0.0216502,31.9748,0.020384,22.9266,0.0242242,33.0058,0.0118409,33.924,0.00921592,39.4111,0.020766,20.6579,0.0112554,36.8566,0.0206311,22.0695,0.014513,38.3921,0.0122093,28.7416,0.0117069,42.3196,0.0209142,20.7765,0.00888309,35.8256,0.0212839,21.3515,0.00965494,36.865,0.0230995,27.5576,0.00784959,39.935,0.0217503,21.6492,0.0255169,37.0327,0.0306981,24.006,0.0205283,39.6243,0.0233892,33.5631,0.0144056,45.3058,0.033878
23-Jan-2018 10:06:00,17.6307,0.950427,31.3519,0.730527,17.3348,0.809832,33.1583,0.677737,16.8624,0.745452,30.2498,0.610345,17.6734,1.10383,31.3635,0.862159,20.9888,0.0157751,35.421,0.00784647,22.0477,0.0174963,36.6401,0.0155712,27.9425,0.0176982,39.3138,0.0327564,20.5854,0.0155552,34.9474,0.0114224,22.5796,0.0163158,36.3925,0.0140416,31.8406,0.00764393,41.1322,0.0176077,26.0021,0.0353573,41.3036,0.0458416,29.5072,0.0327859,45.0935,0.0399695,35.833,0.0305201,48.118,0.0500259,24.3745,0.0130206,34.8527,0.0215918,27.1403,0.0157258,37.8283,0.0111125,37.6702,0.00328118,43.8263,0.0214117,20.7262,0.0128638,31.6764,0.0195191,22.6373,0.014811,33.2582,0.0117697,33.2578,0.00702117,39.7814,0.0200528,19.5331,0.0106693,32.4946,0.0195764,20.8188,0.0138138,33.9942,0.00956881,29.1597,0.0157392,38.7113,0.0159786,22.1435,0.0222953,31.9744,0.0205255,23.1407,0.0241108,33.1581,0.0118293,33.4173,0.00888464,39.1357,0.020974,20.8373,0.010776,36.9938,0.0206732,22.1258,0.0145429,38.4887,0.0122746,28.8792,0.0121227,42.4509,0.0208358,20.7067,0.00815411,35.8498,0.0192628,21.4009,0.00895291,36.8774,0.0228069,27.1106,0.00925521,39.7873,0.0216471,21.6535,0.0257935,37.1205,0.0305948,23.8308,0.0227974,39.5957,0.0234875,33.4411,0.0135689,45.2889,0.034009
23-Jan-2018 10:07:00,17.748,0.966577,31.8613,0.74446,17.4061,0.79831,33.5535,0.674716,16.989,0.726761,30.5899,0.598338,17.7772,1.12003,30.9831,0.870014,21.2519,0.0158737,35.655,0.00334432,22.3042,0.0174983,36.8647,0.0156396,28.2012,0.0176918,39.5467,0.0318203,20.6549,0.0153307,34.9121,0.0131586,22.8148,0.0182678,36.5629,0.0134597,32.1254,0.00950608,41.3696,0.0189948,25.9566,0.0359031,41.2401,0.0460846,29.5177,0.0325024,45.0801,0.0399956,36.2996,0.0318499,48.529,0.0500294,24.3954,0.0122655,34.9677,0.0213371,27.3362,0.016775,37.9672,0.0111407,37.7692,0.00462396,43.8867,0.0216511,21.1252,0.012486,32.0007,0.0197721,22.9133,0.0147721,33.5121,0.0116608,33.5103,0.00769305,40.031,0.0212354,19.5642,0.0107201,32.5986,0.018571,20.7767,0.0141097,33.8832,0.00973651,28.2017,0.0157878,38.2384,0.01727,22.0092,0.0227635,31.9043,0.0209718,23.0101,0.0238256,33.0455,0.0118198,32.8218,0.0113996,38.7071,0.0216783,20.6827,0.0116942,36.8936,0.0201032,22.1436,0.0147783,38.458,0.0122134,29.4406,0.013227,42.8128,0.0208215,20.8589,0.0085562,35.9771,0.0214637,21.647,0.00918609,37.1755,0.0235043,27.6409,0.00915955,40.2251,0.0222799,21.9567,0.0258725,37.342,0.0309779,23.9705,0.0213965,39.6891,0.0236096,34.1266,0.0130934,45.714,0.0341898
23-Jan-2018 10:08:00,17.8365,0.942764,31.9669,0.727167,17.4405,0.816245,33.4146,0.68275,17.0866,0.723554,30.8924,0.59736,17.8934,1.13187,31.1824,0.881391,21.3462,0.01556,35.7883,0.00574585,22.4736,0.0173109,37.0135,0.0161522,28.7727,0.016551,39.8993,0.0324032,20.664,0.015919,34.8695,0.0140859,23.2343,0.0196614,36.6809,0.0149733,32.0578,0.0101832,41.3317,0.0189319,26.4644,0.0354075,41.7233,0.0458867,29.6253,0.0327927,45.2402,0.0400316,36.4451,0.0314511,48.7013,0.0500359,24.5096,0.0119405,34.9588,0.0213675,27.2242,0.0155686,37.8732,0.0111058,37.4244,0.00216565,43.6611,0.0216833,20.8255,0.0129751,31.7647,0.0200109,22.7746,0.014835,33.387,0.0116807,33.4655,0.00726237,40.0172,0.0209318,19.6781,0.0107179,32.6653,0.0193179,20.8877,0.0141088,34.0166,0.00947245,28.2385,0.0165652,38.32,0.0166213,22.165,0.0228548,32.0073,0.0203118,23.2745,0.0238411,33.247,0.0117796,34.034,0.00913805,39.3977,0.0215682,21.0696,0.0107069,37.2468,0.0207571,22.4475,0.0145825,38.761,0.0122051,30.0446,0.0130909,43.2262,0.0204387,20.9108,0.00704625,36.0961,0.0213376,21.7468,0.0089433,37.2425,0.0222203,27.9869,0.00950712,40.4426,0.0215219,21.9699,0.0258722,37.3375,0.0309407,24.1814,0.0225111,39.8846,0.023637,34.1742,0.0144726,45.799,0.0340642
23-Jan-2018 10:09:00,17.8875,0.958436,31.7902,0.74002,17.4946,0.839172,33.0505,0.697928,17.0586,0.733214,30.5405,0.602928,18.0142,1.14169,31.1021,0.880618,21.4337,0.0157579,35.8591,0.0071604,22.4574,0.0172931,37.0516,0.0151441,28.3242,0.0169803,39.6466,0.0318622,20.4637,0.0159166,34.7122,0.0133554,22.5382,0.0201264,36.347,0.0125066,31.5035,0.0103691,40.9714,0.0184581,26.4203,0.035654,41.7086,0.0460005,29.6676,0.0328764,45.3234,0.0400097,36.3597,0.0325719,48.7193,0.050202,24.4387,0.0122657,34.9594,0.0216152,27.4235,0.0146518,38.003,0.0110816,37.4886,0.00657594,43.6907,0.0210755,20.852,0.012966,31.7322,0.0194468,22.5949,0.0151083,33.2538,0.0117553,32.0626,0.011499,39.0905,0.0202987,19.816,0.0107927,32.7474,0.0199866,20.9955,0.0140961,34.092,0.00980158,28.3641,0.016473,38.338,0.0162192,22.4285,0.0221185,32.249,0.0204512,23.1974,0.0249709,33.27,0.0118943,34.0747,0.00924128,39.5436,0.0208784,21.1112,0.0108489,37.3512,0.0191024,22.475,0.014555,38.8305,0.0122367,29.7776,0.0126808,43.135,0.0202054,21.0734,0.0102791,36.2533,0.0193974,21.7011,0.00953645,37.2906,0.0232295,27.6903,0.00895023,40.2835,0.0221444,21.9246,0.0262163,37.4562,0.0306765,23.8857,0.0240543,39.7658,0.0236302,33.9941,0.0144702,45.7628,0.0342089
